BHP,ULEZ,body,engine,fuel,mileage,owners,price,transmission,year,make,model,missing_BHP,sport,se,amg,tfsi,nav,tsi,tdi,premium,dci,m sport,sportback,edition,tech,crdi,tronic,cod,s line,bluetooth,leather,performance,2dr,3dr,4dr,5dr,dsg,speed,gti,gtd,gte,year_reg,age
190.0,ULEZ,Coupe,2.0,Diesel,18522,2.0,19250,Automatic,2017,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67 reg,3
136.0,ULEZ,Convertible,1.5,Petrol,25351,2.0,16300,Automatic,2017,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17 reg,3
252.0,ULEZ,Convertible,2.0,Petrol,20249,2.0,17500,Manual,2017,BMW,2-Series,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,17 reg,3
190.0,ULEZ,Coupe,3.0,Petrol,30927,2.0,23500,Automatic,2018,BMW,2-Series,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68 reg,2
136.0,ULEZ,Coupe,1.5,Petrol,27220,2.0,14175,Manual,2018,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18 reg,2
248.0,ULEZ,Coupe,2.0,Petrol,20102,2.0,21500,Automatic,2018,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18 reg,2
136.0,ULEZ,Coupe,1.5,Petrol,19464,2.0,16625,Manual,2018,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18 reg,2
335.0,ULEZ,Coupe,3.0,Petrol,17652,2.0,23625,Automatic,2018,BMW,2-Series,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68 reg,2
192.0,ULEZ,Coupe,2.0,Petrol,14741,2.0,19000,Automatic,2018,BMW,2-Series,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,67 reg,2
136.0,ULEZ,Convertible,1.5,Petrol,14458,2.0,17450,Manual,2018,BMW,2-Series,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18 reg,2
