BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202009234083497,13656,Audi A3 1.4L S line CoD TFSI 4dr,,"£18,425",Automatic,2017 (17 reg)
148.0,ULEZ,Saloon,1.4L,Petrol,https://www.autotrader.co.uk/car-details/202010185131937,22453,Audi A3 1.4L S line CoD TFSI 4dr,,"£17,550",Automatic,2017 (17 reg)
148.0,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010124920858,50881,Audi A3 2L S line TDI 4dr,,"£15,675",Manual,2017 (67 reg)
148.0,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010124897809,11620,Audi A3 2L S line TDI 4dr,,"£18,275",Manual,2017 (67 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011116007304,61500,Audi A3 1.5 TFSI BLACK EDITION 3d 148 BHP,,"£15,499",Manual,2018 (18 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202003208633906,16897,Audi A3 1.5 TFSI CoD S line Sportback S Tronic (s/s) 5dr …,,"£17,999",Automatic,2018 (67 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012076855800,14500,Audi A3 1.5 TFSI CoD S line Sportback (s/s) 5dr,,"£17,550",Manual,2018 (18 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011246418255,34500,Audi A3 TFSI S Line 5dr S Tronic [Tech Pack] 1.5,,"£18,750",Automatic,2018 (18 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202009153748149,15129,Audi A3 1L S line TFSI 5dr,,"£16,550",Manual,2018 (68 reg)
201.0,ULEZ,Hatchback,1.4L,Hybrid – Petrol/Electric Plug-in,https://www.autotrader.co.uk/car-details/202012106956809,53959,Audi A3 1.4L e-tron TFSI 5dr,,"£16,225",Automatic,2018 (18 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009264226908,15200,Audi A3 Sportback SE Technik 1.5 TFSI cylinder on demand 150 …,,"£15,000",Manual,2018 (18 reg)
,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009284319849,4513,Audi A3 1.5 TFSI Sport 5dr Satellite Navigation,,"£17,500",Manual,2018 (18 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011055812017,15814,Audi A3 1.5L S line CoD TFSI 5dr,,"£18,450",Manual,2018 (18 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202009153739806,9943,Audi A3 1.5L S line CoD TFSI 5dr,,"£18,550",Manual,2018 (18 reg)
187.0,ULEZ,Saloon,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011206310039,26127,Audi A3 2L Black Edition TFSI 4dr,,"£22,275",Automatic,2018 (68 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202009093522558,15445,Audi A3 1L Sport TFSI 5dr,,"£15,425",Manual,2018 (68 reg)
148.0,ULEZ,Hatchback,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011206313135,12767,Audi A3 1.5L Sport CoD TFSI 5dr,,"£17,625",Automatic,2018 (18 reg)
114.0,ULEZ,Hatchback,1.0L,Petrol,https://www.autotrader.co.uk/car-details/202011065874618,18452,Audi A3 1L Black Edition TFSI 5dr,,"£17,875",Manual,2018 (68 reg)
148.0,ULEZ,Saloon,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202011226377610,8216,Audi A3 1.5L S line CoD TFSI 4dr,,"£20,025",Automatic,2018 (68 reg)
187.0,ULEZ,Saloon,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011266508338,43099,Audi A3 2L S line TFSI 4dr,,"£18,500",Automatic,2018 (18 reg)
