BHP,ULEZ,body,engine,fuel,link,mileage,name,owners,price,transmission,year
335,ULEZ,Convertible,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202011015671276,17037,BMW 2 Series 3L M240i 2dr,,"??22,050",Automatic,2018 (18 reg)
150,ULEZ,Coupe,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011045774778,14756,BMW 2 Series 2L M Sport 218d 2dr,,"??17,825",Manual,2018 (68 reg)
340,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202008252917432,6767,BMW 2 Series 3L M240i 2dr,,"??23,525",Automatic,2018 (67 reg)
335,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202011186245568,8664,BMW 2 SERIES M240I 3.0 2dr,,"??24,991",Automatic,2019 (19 reg)
192,ULEZ,Coupe,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202010084772759,9321,BMW 2 Series 220i M Sport Coupe 2.0 2dr,,"??24,500",Automatic,2019 (69 reg)
150,ULEZ,Coupe,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202012177171493,19011,BMW 2 Series 2L M Sport 218d 2dr,,"??20,800",Automatic,2019 (69 reg)
335,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202010295575865,14018,BMW 2 Series 3L M240i 2dr,,"??25,200",Automatic,2019 (19 reg)
335,ULEZ,Coupe,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202009193928711,7661,BMW 2 Series 3L M240i 2dr,,"??25,950",Automatic,2019 (68 reg)
136,,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202007020763485,3012,BMW 2 Series 218i M Sport Gran Coupe 1.5 4dr,,"??29,000",Automatic,2020 (20 reg)
136,ULEZ,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202007070958312,10,BMW 2 Series 218i M Sport Coupe 1.5 2dr,,"??22,000",Manual,2020 (20 reg)
150,ULEZ,Convertible,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202003037974773,3121,BMW 2 Series 218d M Sport Convertible 2.0 2dr,,"??28,000",Automatic,2020 (70 reg)
190,ULEZ,Convertible,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202003068106950,10,BMW 2 Series 220d M Sport Convertible 2.0 2dr,,"??27,500",Manual,2020 (70 reg)
150,ULEZ,Convertible,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202007201471131,10,BMW 2 Series 218d M Sport Convertible 2.0 2dr,,"??27,500",Automatic,2020 (70 reg)
190,ULEZ,Convertible,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011256473127,9879,BMW 2 Series 220d Sport Convertible 2.0 2dr,,"??26,000",Automatic,2020 (20 reg)
190,ULEZ,Coupe,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202003058063990,10,BMW 2 Series Gran Tourer 220d xDrive M Sport Gran Tourer 2.0 2dr,,"??34,500",Automatic,2020 (70 reg)
190,ULEZ,Convertible,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011196264671,10,BMW 2 Series 220d M Sport Convertible 2.0 2dr,,"??29,500",Automatic,2020 (70 reg)
136,ULEZ,Coupe,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202003037974761,2212,BMW 2 Series 218i M Sport Coupe 1.5 2dr,,"??27,500",Manual,2020 (70 reg)
190,ULEZ,Convertible,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202007201471133,10,BMW 2 Series 220d M Sport Convertible 2.0 2dr,,"??35,400",Automatic,2020 (70 reg)
,ULEZ,Saloon,3.0L,Petrol,https://www.autotrader.co.uk/car-details/202012217293688,30000,BMW 3 Series 3.0 340i M Sport Shadow Edition Auto (s/s) 4dr,,"??22,980",Automatic,2017 (67 reg)
188,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011266520548,79470,BMW 3 SERIES 2.0 320D M SPORT 4d 188 BHP CLEARANCE SALE - GRAB ?€?,,"??12,499",Manual,2017 (17 reg)
190,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202011306621506,22843,BMW 3 Series 320d M Sport Saloon 2.0 4dr,,"??19,000",Automatic,2017 (17 reg)
190,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010205206088,28148,BMW 3 SERIES 320D M SPORT 2.0 4dr,,"??15,295",Manual,2017 (17 reg)
181,ULEZ,Saloon,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202011266507467,34274,BMW 3 SERIES 2.0 320I SE 4d 181 BHP AIR CON - ALLOYS - ?€?,,"??12,999",Manual,2017 (17 reg)
148,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202008142498629,36176,BMW 3 SERIES 2.0 318D M SPORT 4d 148 BHP SAT NAV,,"??14,690",Manual,2017 (67 reg)
252,ULEZ,Saloon,2.0L,Hybrid ?€? Petrol/Electric Plug-in,https://www.autotrader.co.uk/car-details/202009073415027,124395,BMW 3 Series 330e M Sport 4dr Step Auto Leather Seats 2.0,,"??11,850",Automatic,2017 (17 reg)
116,ULEZ,Saloon,2.0L,Diesel,https://www.autotrader.co.uk/car-details/202010175125596,20970,BMW 3 Series 316d SE 4dr Step Auto Leather Seats 2.0,,"??14,100",Automatic,2017 (67 reg)
136,ULEZ,Saloon,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012157131363,25684,BMW 3 Series 1.5L Sport 318i 4dr,,"??12,450",Manual,2017 (17 reg)
184,ULEZ,Saloon,2.0L,Petrol,https://www.autotrader.co.uk/car-details/202012167159145,15539,BMW 3 Series 320i xDrive Sport Saloon 2.0 4dr,,"??16,750",Manual,2017 (67 reg)
136,ULEZ,Estate,1.5L,Petrol,https://www.autotrader.co.uk/car-details/202012117005406,37432,BMW 3 Series 318i Sport 5dr 1.5,,"??12,860",Manual,2017 (17 reg)
